num_nodes,num_edges,density,avg_clustering,diameter,num_components,giant_component_size,avg_degree,max_betweenness,degree_centralization,avg_closeness,release,network_jaccard,nodes_added,nodes_removed,density_change,centralization_change,turnover_rate
587,1539,0.008948142635370455,0.23498224699216644,6,273,0.534923339011925,5.243611584327087,0.03171563393065357,0.8102929732685555,0.0,2.4.2,0.02654867256637168,529,0,-0.042473514956886047,0.18980615785273391,0.9011925042589438
505,1355,0.010647493320760648,0.23077821211675345,6,236,0.5326732673267327,5.366336633663367,0.03212352776051876,0.8049088451280553,0.0,2.8.0,0.7154712507409603,0,82,0.001699350685390193,-0.005384128140500266,0.0
541,1410,0.009652906140891353,0.2223729514743179,6,255,0.5286506469500925,5.212569316081331,0.04498212256711679,0.8104259251976245,0.0,2.5.2,0.7966211825860948,36,0,-0.0009945871798692947,0.005517080069569191,0.066543438077634
487,1335,0.011280959261794307,0.23526110345346515,6,225,0.5379876796714579,5.482546201232033,0.042580781480682096,0.8004814310653778,0.0,2.7.1,0.7801556420233463,0,54,0.0016280531209029534,-0.009944494132246628,0.0
508,1361,0.010568575377781919,0.23128876828168918,6,237,0.531496062992126,5.358267716535433,0.04908029223531318,0.8046972177706295,0.0,2.6.2,0.8106111484217595,21,0,-0.0007123838840123881,0.0042157867052516895,0.04133858267716536
174,545,0.0362102185901269,0.332455750639574,6,61,0.6436781609195402,6.264367816091954,0.11428041452661711,0.7109669935674363,0.0,3.7.1,0.2344559585492228,18,352,0.02564164321234498,-0.09373022420319321,0.10344827586206896
268,816,0.022807311755827602,0.27155559550302555,6,104,0.6119402985074627,6.08955223880597,0.05398428421171195,0.7451894937079309,0.0,3.6.0,0.43414120126448896,94,0,-0.013402906834299299,0.03422250014049455,0.35074626865671643
688,1898,0.00803121085948343,0.25034794978105573,6,307,0.5523255813953488,5.517441860465116,0.04747092697418165,0.8076900102923519,0.0,2.4.0,0.3395853899308983,420,0,-0.014776100896344173,0.06250051658442102,0.6104651162790697
628,1765,0.008964942756427839,0.23401382024675738,6,282,0.5509554140127388,5.6210191082802545,0.03747676963779021,0.8047337651792641,0.0,2.6.0,0.7509560229445507,5,65,0.0009337318969444095,-0.0029562451130877854,0.007961783439490446
128,386,0.04749015748031496,0.29122608056727634,6,43,0.671875,6.03125,0.0656652030605276,0.6641232189119171,0.0,3.8.1,0.09913132345426673,8,508,0.03852521472388712,-0.14061054626734704,0.0625
