release,total_commits,total_churn,churn_concentration,developer_churn_inequality,refactoring_ratio,file_hotspots,avg_commit_size,churn_volatility,unique_developers,avg_files_per_commit
0.10.2.2,1748,484354,0.7775357540798238,0.7537603675798881,0.34725400457665906,175,277.0903890160183,1728.5923902736367,253.0,6.962814645308924
0.11.0.3,729,208854,0.7884031537024643,0.652355381578507,0.35939643347050754,71,286.4938271604938,1629.100967315322,164.0,6.869684499314129
1.0.2,727,217604,0.8043198215746044,0.6542506793706175,0.36176066024759285,73,299.3177441540578,2036.3138183794995,164.0,7.039889958734525
0.10.1.2,2488,704340,0.7871446183866733,0.7764084172073289,0.34766881028938906,249,283.09485530546624,1921.4781457796846,338.0,7.64911575562701
0.9.0.2,3499,890049,0.7937883877535257,0.7875275468732883,0.354101171763361,349,254.372392112032,1758.2695891812427,467.0,7.03972563589597
0.11.0.4,384,80574,0.7508835046044628,0.606983418367347,0.3723958333333333,39,209.828125,1059.25131785093,98.0,7.432291666666667
0.10.0.2,3060,821034,0.7905994172723472,0.7849951328048952,0.35490196078431374,306,268.31176470588235,1818.6888997244969,423.0,7.377777777777778
0.11.0.1,2625,683551,0.7802971516181152,0.7708587345801832,0.3535238095238095,263,260.40038095238094,1660.7163407627213,359.0,6.844190476190477
2.2.1,324,84930,0.7786737952678531,0.5752171925011431,0.345679012345679,33,262.1296296296296,1507.100979516087,81.0,6.055555555555555
0.8.1.2,5383,1359295,0.8035695753231709,0.8032135130735298,0.3589076723016905,537,252.51625487646294,1788.704698245428,663.0,6.783949470555452
0.10.2.3,941,220080,0.7704256031330121,0.683036588913494,0.36238044633368754,94,233.8788522848034,1221.2185237056349,179.0,6.246546227417641
2.4.1,380,103541,0.7758647604127327,0.5587622903412377,0.3263157894736842,38,272.4763157894737,2020.541063437836,91.0,5.7368421052631575
2.3.1,880,252426,0.7734224629648436,0.6755995538204127,0.3375,88,286.8477272727273,1932.6168651257344,163.0,6.721590909090909
2.2.3,1452,399006,0.7830499873452748,0.7307036166502388,0.3106060606060606,145,274.797520661157,2024.671812760379,218.0,6.373278236914601
2.5.1,1048,265080,0.788072418293426,0.6956832890806506,0.3187022900763359,105,252.93893129770993,1757.8550358230516,184.0,6.134541984732825
2.6.1,912,271355,0.7941211333182692,0.6807607468964809,0.3706140350877193,92,297.53837719298247,2014.5982555997134,171.0,7.891447368421052
2.3.0,3222,872762,0.7790370717610673,0.7794188491019913,0.35567970204841715,323,270.8758535071384,1787.003067829086,393.0,6.803538175046555
