release,start_date,end_date,duration_days,weighted_velocity,velocity_change_pct,is_degraded,issue_count,bugs,improvements,new_features,tasks,velocity_per_day,prev_weighted_velocity,total_commits,total_churn,churn_concentration,developer_churn_inequality,refactoring_ratio,file_hotspots,avg_commit_size,churn_volatility,unique_developers,avg_files_per_commit,num_nodes,num_edges,density,avg_clustering,diameter,num_components,giant_component_size,avg_degree,max_betweenness,degree_centralization,avg_closeness,network_jaccard,nodes_added,nodes_removed,density_change,centralization_change,turnover_rate,commits_per_day,churn_per_developer,edges_per_node,num_issues,earliest_issue_created,velocity_change
1.0.1,2017-10-19 14:44:22+00:00,2022-03-14 22:51:42+00:00,1607.338425925926,57.95,-81.0899004731604,1,53,41,9,0,0,0.03605339054008942,306.45,5479,1463787,0.7805771034555329,0.8004299243576483,0.3522540609600292,548,267.1631684613981,1701.4148544025495,657.0,6.792662894688812,579,1274,0.0076136519831949846,0.2583692163273586,6,244,0.5803108808290155,4.400690846286701,0.06692834684459222,0.7953991481008504,0.0,0.8323108384458078,0,43,0.00029219659799012334,-0.0011166311757451197,0.0,3.4087407552916296,2227.986301369863,2.2003454231433506,53,2016-10-06 16:51:33+00:00,-248.5
2.0.0,2018-01-31 10:21:53+00:00,2022-03-14 22:51:42+00:00,1503.5207060185185,295.24999999999994,409.4909404659188,0,256,130,87,4,17,0.19637242029200455,57.95,5195,1384848,0.7799424820146417,0.7994332840314016,0.351106833493744,520,266.57324350336864,1707.9911113442422,626.0,6.802117420596727,550,1202,0.007961583043550257,0.25973844087481457,6,235,0.5745454545454546,4.370909090909091,0.06434407252510771,0.7975873544093179,0.0,0.8099415204678363,0,29,0.0003479310603552721,0.0021882063084674996,0.0,3.455223449337727,2212.2172523961663,2.1854545454545455,256,2015-01-23 18:28:46+00:00,237.29999999999995
2.2.0,2018-10-03 07:14:09+00:00,2022-03-14 22:51:42+00:00,1258.651076388889,183.8,-37.747671464860275,1,162,90,56,0,5,0.14602935114259644,295.24999999999994,4322,1152705,0.7777697693998848,0.792977458780679,0.34983803794539564,433,266.7063859324387,1695.557644780416,527.0,6.76376677464137,461,992,0.009355842686032255,0.2559780060059124,6,203,0.561822125813449,4.303687635574837,0.06905470267035461,0.7974249527674762,0.0,0.6459114778694673,0,89,0.0013942596424819983,-0.00016240164184178063,0.0,3.4338349055402704,2187.296015180266,2.1518438177874186,162,2013-11-05 18:23:45+00:00,-111.44999999999993
2.1.1,2018-10-26 13:50:37+00:00,2022-03-14 22:51:42+00:00,1235.375752314815,52.05,-71.68117519042437,1,48,38,8,0,1,0.04213292992230911,183.8,4236,1136145,0.7774001953103256,0.7922477137111579,0.3496222851746931,424,268.2117563739377,1704.4696947378143,517.0,6.768885741265344,452,961,0.009428408845633106,0.2537575163336869,6,200,0.5597345132743363,4.252212389380531,0.03706160513978134,0.7977724162699253,0.0,0.7983425414364641,0,9,7.256615960085123e-05,0.00034746350244918567,0.0,3.428916256501468,2197.5725338491297,2.1261061946902653,48,2016-06-13 16:51:49+00:00,-131.75
3.0.1,2021-07-21 13:46:11+00:00,2022-08-05 21:20:13+00:00,380.31530092592595,38.5,-26.0326609029779,1,30,26,2,0,1,0.10123179347837664,52.05,961,239128,0.7719377282377795,0.65900944933203,0.3298647242455775,96,248.8324661810614,1118.405733706864,198.0,6.132154006243496,175,228,0.01497536945812808,0.17946810086075898,6,89,0.4857142857142857,2.605714285714286,0.04123529697254426,0.7496491228070175,0.0,0.0760180995475113,50,327,0.005546960612494973,-0.04812329346290789,0.2857142857142857,2.5268507411096093,1207.7171717171718,1.302857142857143,30,2019-07-12 07:53:10+00:00,-13.549999999999997
3.2.1,2022-05-04 17:54:59+00:00,2022-09-16 02:12:48+00:00,134.3457060185185,23.0,-40.25974025974026,1,16,14,2,0,0,0.17120011261714332,38.5,396,96043,0.744419850031399,0.6027602760276027,0.32323232323232326,40,242.5328282828283,1111.6715060018275,101.0,6.0,84,114,0.03270223752151463,0.2304394485066754,6,38,0.5357142857142857,2.7142857142857144,0.06451842573733296,0.6859857978279031,0.0,0.20848056537102475,10,101,0.017726868063386553,-0.06366332497911431,0.11904761904761904,2.9476193302777722,950.9207920792079,1.3571428571428572,16,2021-11-24 03:32:26+00:00,-15.5
3.1.2,2022-07-01 04:09:13+00:00,2022-09-19 16:16:34+00:00,80.50510416666667,5.0,-78.26086956521739,1,5,5,0,0,0,0.06210786324366079,23.0,229,39437,0.6849788502429335,0.5379576755122608,0.29694323144104806,23,172.21397379912665,648.3328742023855,78.0,5.3755458515283845,64,58,0.028769841269841268,0.2030048076923077,6,32,0.515625,1.8125,0.10756345548972276,0.6953125,0.0,0.30303030303030304,0,20,-0.003932396251673364,0.009326702172096857,0.0,2.8445401365596643,505.6025641025641,0.90625,5,2022-06-30 22:06:00+00:00,-18.0
3.2.3,2022-08-03 18:01:09+00:00,2022-09-19 16:16:34+00:00,46.92737268518518,10.0,100.0,0,8,8,0,0,0,0.21309524543565522,5.0,141,23516,0.6853200295799813,0.508901432913591,0.2978723404255319,14,166.78014184397162,572.7039960657115,49.0,5.51063829787234,40,38,0.04871794871794872,0.2862770562770563,4,22,0.475,1.9,0.08132510764089709,0.7078947368421054,0.0,0.3150684931506849,0,24,0.01994810744810745,0.012582236842105354,0.0,3.0046429606427387,479.9183673469388,0.95,8,2022-07-10 00:01:55+00:00,5.0
3.3.1,2022-09-28 20:40:33+00:00,2022-09-29 18:20:44+00:00,0.9029050925925926,5.0,-50.0,1,3,3,0,0,0,5.537680583507455,10.0,5,458,0.5336244541484716,0.26666666666666683,0.4,1,91.6,108.89444430272832,3.0,2.8,3,0,0.0,0.0,0,3,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,2,39,-0.04871794871794872,-0.7078947368421054,0.6666666666666666,5.537680583507455,152.66666666666666,0.0,3,2022-09-23 19:29:48+00:00,-5.0
3.3.2,2022-09-20 07:23:59+00:00,2023-02-21 07:30:18+00:00,154.00438657407406,34.75,595.0,0,30,26,3,0,1,0.22564292338053443,5.0,452,116110,0.7213629050267407,0.5957149510945505,0.3407079646017699,46,256.8805309734513,1018.6830492546294,114.0,7.292035398230088,98,109,0.022932884494003786,0.17580395794681508,8,52,0.46938775510204084,2.2244897959183674,0.09036043739462479,0.7424639580602885,0.0,0.0,95,0,0.022932884494003786,0.7424639580602885,0.9693877551020408,2.9349813343309803,1018.5087719298245,1.1122448979591837,30,2022-01-10 19:17:12+00:00,29.75
0.11.0.0,2017-01-12 08:38:15+00:00,2023-02-22 22:56:50+00:00,2232.596238425926,427.90000000000003,1131.3669064748203,0,419,224,59,11,4,0.1916602709595567,34.75,7798,2087959,0.7776854284175063,0.8138050602978879,0.3473967684021544,779,267.7557065914337,1683.1935248507068,887.0,6.9705052577584,769,1793,0.006071873645426961,0.2639532054471484,6,320,0.5851755526657998,4.663198959687906,0.09052078151631354,0.8042140472593533,0.0,0.028664142779881017,671,0,-0.016861010848576826,0.06175008919906477,0.8725617685305592,3.492794561679418,2353.95603156708,2.331599479843953,419,2011-07-19 21:32:09+00:00,393.15000000000003
0.10.1.0,2016-04-30 00:28:09+00:00,2023-02-24 19:34:52+00:00,2491.7963310185187,247.2,-42.229492872166404,1,241,133,56,8,5,0.09920553976374036,427.90000000000003,8563,2237778,0.7814525336590143,0.8136987762428753,0.3498773794230994,857,261.33107555763166,1663.4796245307134,992.0,6.847366577134182,855,1955,0.005354917348014846,0.26651682467873244,6,349,0.5929824561403508,4.573099415204679,0.09135273373852293,0.8029428216748178,0.0,0.8291849682772084,86,0,-0.0007169562974121153,-0.001271225584535518,0.10058479532163743,3.436476686880699,2255.8245967741937,2.2865497076023393,241,2013-01-22 20:32:00+00:00,-180.70000000000005
2.1.2,2019-02-05 00:49:57+00:00,2023-04-03 19:33:20+00:00,1518.7801273148148,113.25,-54.18689320388349,1,95,84,8,0,0,0.07456642206678372,247.2,5160,1371432,0.770933231177904,0.7974074353272274,0.3434108527131783,516,265.78139534883724,1605.4843035741887,617.0,6.68953488372093,529,1141,0.008170075041530618,0.2461861271430966,6,240,0.5482041587901701,4.313799621928166,0.05919815016444329,0.8045938544274331,0.0,0.46313799621928164,11,337,0.002815157693515772,0.0016510327526153556,0.020793950850661626,3.3974634690031262,2222.742301458671,2.156899810964083,95,2014-10-18 13:44:09+00:00,-133.95
1.1.2,2018-05-09 00:08:36+00:00,2023-04-03 19:33:20+00:00,1790.8088425925926,78.25,-30.90507726269316,1,69,58,8,0,0,0.04369533930082442,113.25,6017,1592791,0.7729551508295851,0.8028962666043198,0.3468505899950141,602,264.71514043543294,1619.975051290405,708.0,6.782283529998338,609,1352,0.007302739607639789,0.24773399036831067,6,270,0.5582922824302134,4.440065681444992,0.059440159487479584,0.8037499635642871,0.0,0.7122252747252747,80,0,-0.000867335433890829,-0.0008438908631460684,0.13136288998357964,3.3599342693042877,2249.704802259887,2.220032840722496,69,2014-10-18 13:44:09+00:00,-35.0
1.0.3,2018-05-09 00:08:36+00:00,2023-04-03 19:33:20+00:00,1790.8088425925926,43.0,-45.04792332268371,1,39,35,3,0,0,0.024011496357002556,78.25,6017,1592791,0.7729551508295851,0.8028962666043198,0.3468505899950141,602,264.71514043543294,1619.975051290405,708.0,6.782283529998338,609,1352,0.007302739607639789,0.24773399036831067,6,270,0.5582922824302134,4.440065681444992,0.055731658272773967,0.8037499635642871,0.0,1.0,0,0,0.0,0.0,0.0,3.3599342693042877,2249.704802259887,2.220032840722496,39,2014-10-18 13:44:09+00:00,-35.25
2.3.2,2019-10-15 23:02:38+00:00,2023-04-03 19:33:20+00:00,1265.8546527777778,87.25,102.90697674418605,0,81,72,6,0,0,0.06892576474600741,43.0,4298,1137554,0.7702397061809709,0.7885233063591688,0.34201954397394135,429,264.67054443927407,1590.6269775395617,533.0,6.677059097254537,455,969,0.009381807619693082,0.2315393378023081,6,207,0.545054945054945,4.259340659340659,0.05085373280956532,0.7977432268453941,0.0,0.5199738048461034,0,154,0.002079068012053293,-0.006006736718892958,0.0,3.3953345200955853,2134.2476547842402,2.1296703296703297,81,2014-10-18 13:44:09+00:00,44.25
2.0.2,2018-10-26 13:50:37+00:00,2023-04-03 19:33:20+00:00,1620.2379976851853,104.5,19.770773638968482,0,94,81,9,0,1,0.06449669749092288,87.25,5418,1434154,0.7713647196050581,0.7991076198277312,0.3449612403100775,541,264.7017349575489,1587.9685751043125,653.0,6.70062753783684,559,1178,0.007553170343868018,0.23829675690551014,6,259,0.5384615384615384,4.214669051878354,0.04551152554045102,0.809668004045546,0.0,0.6046337817638266,104,0,-0.0018286372758250643,0.011924777200151837,0.18604651162790697,3.343953177089188,2196.2542113323125,2.107334525939177,94,2014-10-18 13:44:09+00:00,17.25
2.2.2,2019-05-16 14:09:43+00:00,2023-04-03 19:33:20+00:00,1418.2247337962963,48.0,-54.066985645933016,1,41,39,1,1,0,0.03384512965833973,104.5,4806,1291259,0.771432298762937,0.7941297604798125,0.3418643362463587,481,268.6764461090304,1638.8761042346546,582.0,6.759675405742821,498,1086,0.00877554483527672,0.2460608596479715,6,226,0.5461847389558233,4.36144578313253,0.05423258573139667,0.8018094477356941,0.0,0.7073906485671192,0,61,0.0012223744914087028,-0.007858556309851883,0.0,3.388743607041266,2218.6580756013745,2.180722891566265,41,2017-03-14 05:36:11+00:00,-56.5
3.0.3,2022-11-15 11:51:05+00:00,2023-04-25 11:54:36+00:00,161.00244212962963,8.5,-82.29166666666666,1,8,5,1,0,2,0.052794230246248706,48.0,585,169439,0.7186831677769419,0.6127364438839851,0.30256410256410254,59,289.63931623931626,1229.4328050831518,122.0,7.18974358974359,103,161,0.030649152865029505,0.20236350812412612,6,43,0.5825242718446602,3.1262135922330097,0.06709196632355463,0.6643550624133148,0.0,0.0703862660944206,8,403,0.021873608029752786,-0.1374543853223793,0.07766990291262135,3.6334852581241757,1388.844262295082,1.5631067961165048,8,2022-10-20 01:21:08+00:00,-39.5
3.4.1,2022-10-11 16:56:41+00:00,2023-08-02 16:52:39+00:00,294.99719907407405,67.0,688.2352941176471,0,60,44,9,0,5,0.22712080050352018,8.5,1037,295256,0.7346573428758709,0.6667298711711616,0.3201542912246866,104,284.72131147540983,1359.9674192661282,178.0,6.540983606557377,154,251,0.02130549189372719,0.18736412429609647,6,72,0.538961038961039,3.25974025974026,0.059609607507216576,0.7275314327107156,0.0,0.4507042253521127,51,0,-0.009343660971302317,0.06317637029740086,0.33116883116883117,3.515287613763439,1658.741573033708,1.62987012987013,60,2017-08-20 21:35:15+00:00,58.5
3.2.4,2022-11-15 11:51:05+00:00,2023-08-15 23:59:51+00:00,273.50608796296297,12.5,-81.34328358208955,1,12,9,1,0,2,0.04570282180224338,67.0,1020,300833,0.7338131546243198,0.663170868347339,0.3127450980392157,102,294.9343137254902,1422.0453914357872,175.0,6.6196078431372545,151,255,0.022516556291390728,0.19599876498554344,6,70,0.543046357615894,3.377483443708609,0.06622520134237239,0.7198805349954551,0.0,0.6428571428571429,8,11,0.0012110643976635388,-0.007650897715260507,0.052980132450331126,3.72935025906306,1719.0457142857142,1.6887417218543046,12,2022-10-20 01:21:08+00:00,-54.5
3.1.3,2022-11-15 11:51:05+00:00,2023-08-15 23:59:51+00:00,273.50608796296297,9.5,-24.0,1,9,6,1,0,2,0.03473414456970497,12.5,1020,300833,0.7338131546243198,0.663170868347339,0.3127450980392157,102,294.9343137254902,1422.0453914357872,175.0,6.6196078431372545,151,255,0.022516556291390728,0.19599876498554344,6,70,0.543046357615894,3.377483443708609,0.05588950375983902,0.7198805349954551,0.0,1.0,0,0,0.0,0.0,0.0,3.72935025906306,1719.0457142857142,1.6887417218543046,9,2022-10-20 01:21:08+00:00,-3.0
3.0.2,2022-03-15 20:17:09+00:00,2023-08-31 22:17:19+00:00,534.0834490740741,12.5,31.57894736842105,0,11,11,0,0,0,0.0234045822271237,9.5,1782,478451,0.7466965944751549,0.7114617382257284,0.3254769921436588,179,268.4910213243547,1279.9332754111485,274.0,6.3019079685746355,238,413,0.014643832216430876,0.19510818942923058,7,118,0.5042016806722689,3.4705882352941178,0.05027922502663644,0.7668626772742995,0.0,0.4182590233545648,87,0,-0.007872724074959852,0.04698214227884434,0.36554621848739494,3.3365572422987544,1746.1715328467153,1.7352941176470589,11,2021-06-02 08:59:15+00:00,3.0
3.1.1,2021-11-15 10:47:18+00:00,2023-08-31 22:17:19+00:00,654.4791782407408,34.0,172.0,0,32,25,5,0,0,0.05194970463597176,12.5,2067,548152,0.7490252157307047,0.7216841576420676,0.3284954039671021,206,265.19206579583937,1261.0696352469242,312.0,6.2583454281567485,269,471,0.013066637074848805,0.20404219797638634,6,132,0.5092936802973977,3.5018587360594795,0.053773187931745514,0.7724686066977642,0.0,0.604355716878403,31,0,-0.0015771951415820707,0.005605929423464717,0.11524163568773234,3.158236455369224,1756.8974358974358,1.7509293680297398,32,2019-07-12 07:53:10+00:00,21.5
2.7.3,2022-03-25 04:29:14+00:00,2023-08-31 22:17:19+00:00,524.741724537037,5.5,-83.82352941176471,1,3,2,1,0,0,0.010481346808951538,34.0,1743,469255,0.745252482797756,0.7112984699269689,0.32759609868043604,175,269.22260470453244,1283.504741037353,266.0,6.2730923694779115,228,402,0.01553443079063297,0.19106921048370834,7,113,0.5043859649122807,3.526315789473684,0.0549133784472549,0.7636052195164529,0.0,0.5872727272727273,0,41,0.0024677937157841657,-0.0088633871813113,0.0,3.3216340887277327,1764.1165413533834,1.763157894736842,3,2021-06-02 08:59:15+00:00,-28.5
2.8.2,2021-09-14 23:12:14+00:00,2023-08-31 22:17:19+00:00,715.9618634259259,17.5,218.18181818181816,0,13,13,0,0,0,0.02444264267968313,5.5,2171,582197,0.7520927927568688,0.7266821332634661,0.3247351450944265,217,268.1699677567941,1259.5946755481386,327.0,6.314601566098572,280,479,0.012263184843830006,0.19527222481491555,6,142,0.4928571428571429,3.4214285714285713,0.0561303043531747,0.778757828810021,0.0,0.5902527075812274,52,0,-0.003271245946802965,0.015152609293568098,0.18571428571428572,3.032284414719547,1780.4189602446484,1.7107142857142856,13,2021-01-30 00:38:01+00:00,12.0
3.3.3,2022-04-15 18:29:36+00:00,2023-09-08 02:09:44+00:00,510.31953703703704,49.8,184.57142857142856,0,47,34,7,0,4,0.09758591702983478,17.5,1710,472948,0.7433856457495642,0.7106811825347294,0.32280701754385965,171,276.5777777777778,1324.6337745400228,253.0,6.391812865497076,217,397,0.01693975081071855,0.196782552294214,7,106,0.511520737327189,3.6589861751152073,0.05708409346715953,0.7537173966035589,0.0,0.5504424778761062,1,64,0.0046765659668885455,-0.025040432206462127,0.004608294930875576,3.350841729337701,1869.3596837944665,1.8294930875576036,47,2017-08-20 21:35:15+00:00,32.3
3.5.2,2022-10-11 16:56:41+00:00,2023-11-16 10:15:41+00:00,400.7215277777778,43.599999999999994,-12.449799196787154,1,40,36,0,0,2,0.10880373770230434,49.8,1468,455738,0.7438366160307486,0.6882952256841606,0.3215258855585831,147,310.4482288828338,1577.6869632868968,230.0,6.643051771117166,205,366,0.017503586800573886,0.18077919721653737,6,93,0.5463414634146342,3.5707317073170732,0.04997696951392842,0.7407836865253898,0.0,0.4533333333333333,32,44,0.0005638359898553352,-0.012933710078169014,0.15609756097560976,3.6633919024537334,1981.4695652173914,1.7853658536585366,40,2021-08-12 15:26:51+00:00,-6.200000000000003
2.7.0,2020-06-03 16:36:22+00:00,2023-11-22 14:24:11+00:00,1266.9082060185185,211.9,386.0091743119267,0,202,89,60,5,8,0.1672575795099891,43.599999999999994,4305,1211065,0.7664651829541973,0.7785595079518188,0.3421602787456446,431,281.31591173054585,1594.666626581578,531.0,6.760046457607433,464,957,0.008909287257019439,0.2028779665761264,6,219,0.5280172413793104,4.125,0.031713923189983236,0.8032600079270709,0.0,0.2672413793103448,259,0,-0.008594299543554448,0.06247632140168102,0.5581896551724138,3.3980362425224304,2280.7250470809795,2.0625,202,2017-07-25 15:00:00+00:00,168.3
3.6.1,2023-09-18 09:10:48+00:00,2023-11-29 21:50:22+00:00,72.52747685185186,31.3,-85.22888154789995,1,29,22,2,0,4,0.4315605803292302,211.9,298,114801,0.7602384786185887,0.4616282462795447,0.3389261744966443,30,385.23825503355704,2192.8615554428616,92.0,6.922818791946309,86,118,0.03228454172366621,0.19096983867485703,5,31,0.5813953488372093,2.744186046511628,0.13287792894935746,0.6353961371698857,0.0,0.06541129831516353,1,379,0.02337525446664677,-0.16786387075718512,0.011627906976744186,4.10878763380545,1247.8369565217392,1.372093023255814,29,2022-06-09 06:56:05+00:00,-180.6
1.1.0,2017-10-05 08:58:38+00:00,2024-02-12 22:05:58+00:00,2321.546759259259,237.95000000000002,660.223642172524,0,231,144,43,4,1,0.10249632020158976,31.3,8078,2187209,0.7699366320942915,0.8072431158838687,0.34389700420896263,808,270.76120326813566,1641.2693819859426,910.0,6.628992324832879,795,1830,0.005798203507437859,0.2444446770748264,6,358,0.5484276729559748,4.60377358490566,0.06978488418865185,0.81151596384507,0.0,0.03727369542066028,709,0,-0.026486338216228353,0.17611982667518422,0.8918238993710692,3.47957669505544,2403.5263736263737,2.30188679245283,231,2013-09-06 01:32:28+00:00,206.65
2.5.0,2019-10-09 16:48:11+00:00,2024-02-12 22:32:27+00:00,1587.239074074074,234.55,-1.428871611683129,0,204,98,70,8,4,0.1477723197665268,237.95000000000002,5691,1554837,0.7632533108867148,0.7939953084894564,0.33684765419082763,568,273.2098049551924,1641.4036920959509,652.0,6.537515375153752,566,1307,0.008174114262484756,0.232869227358079,6,263,0.5318021201413428,4.618374558303887,0.03266507061917846,0.8058145727950341,0.0,0.5430398425971471,0,229,0.0023759107550468967,-0.0057013910500358644,0.0,3.585471207807734,2384.719325153374,2.3091872791519434,204,2014-10-06 17:29:26+00:00,-3.4000000000000057
3.6.2,2022-10-11 16:56:41+00:00,2024-03-27 19:31:37+00:00,533.1075925925926,33.0,-85.93050522276701,1,30,24,3,0,0,0.06190120054286866,234.55,2107,620573,0.7418423164039532,0.7084788382917426,0.3241575700047461,211,294.52918841955386,1626.7692883442696,285.0,6.365448504983389,258,534,0.01610713962537327,0.20619161051463392,6,117,0.5426356589147286,4.1395348837209305,0.06149686031963948,0.7605391516418429,0.0,0.28292682926829266,15,323,0.007933025362888514,-0.045275421153191164,0.05813953488372093,3.952297864964372,2177.4491228070174,2.0697674418604652,30,2020-11-13 17:17:13+00:00,-201.55
3.6.3,2024-04-22 11:51:20+00:00,2024-05-20 18:15:21+00:00,28.26667824074074,2.5,-92.42424242424242,1,3,2,0,0,0,0.08844336001238207,33.0,173,51408,0.7118911790792104,0.45068354894944496,0.4161849710982659,18,297.15606936416185,1761.0129951907707,63.0,7.618497109826589,58,85,0.0514216575922565,0.2222663830422451,6,22,0.5862068965517241,2.9310344827586206,0.11941535386084257,0.6204868154158216,0.0,0.011437908496732025,15,215,0.03531451796688323,-0.1400523362260213,0.25862068965517243,6.120280512856839,816.0,1.4655172413793103,3,2024-01-01 14:30:23+00:00,-30.5
2.4.2,2020-03-10 23:08:01+00:00,2024-06-25 11:08:17+00:00,1567.5001851851853,82.05,3182.0,0,79,65,9,0,2,0.05234449142365273,2.5,5980,1673303,0.7598160449071714,0.7877863743713427,0.34531772575250835,598,279.8165551839465,1738.8639667401683,667.0,7.092307692307692,587,1539,0.008948142635370455,0.23498224699216644,6,273,0.534923339011925,5.243611584327087,0.03171563393065357,0.8102929732685555,0.0,0.02654867256637168,529,0,-0.042473514956886047,0.18980615785273391,0.9011925042589438,3.814991574813447,2508.7001499250373,2.6218057921635434,79,2019-05-16 08:03:16+00:00,79.55
2.8.0,2020-10-09 21:26:06+00:00,2024-06-25 11:08:17+00:00,1354.5709606481482,227.75,177.57464960390007,0,207,96,62,3,9,0.16813441792006523,82.05,5131,1451285,0.7551892104848672,0.7761392885704879,0.3513934905476515,513,282.84642369908397,1716.8450817378066,580.0,7.190606119664783,505,1355,0.010647493320760648,0.23077821211675345,6,236,0.5326732673267327,5.366336633663367,0.03212352776051876,0.8049088451280553,0.0,0.7154712507409603,0,82,0.001699350685390193,-0.005384128140500266,0.0,3.7879152507040823,2502.2155172413795,2.6831683168316833,207,2017-02-08 23:38:39+00:00,145.7
2.5.2,2020-06-11 04:36:34+00:00,2024-06-25 11:08:17+00:00,1475.272025462963,47.5,-79.14379802414928,1,39,34,2,0,1,0.032197451846274774,227.75,5497,1560671,0.7592717790022627,0.7814122275034947,0.34746225213752957,550,283.91322539567034,1739.294902389308,617.0,7.174822630525742,541,1410,0.009652906140891353,0.2223729514743179,6,255,0.5286506469500925,5.212569316081331,0.04498212256711679,0.8104259251976245,0.0,0.7966211825860948,36,0,-0.0009945871798692947,0.005517080069569191,0.066543438077634,3.726092479978367,2529.45056726094,2.6062846580406656,39,2019-03-03 05:55:07+00:00,-180.25
2.7.1,2020-11-13 18:51:44+00:00,2024-06-25 11:08:17+00:00,1319.6781597222223,57.25,20.526315789473685,0,45,39,4,0,0,0.043381789399356656,47.5,5000,1420975,0.7535277486233045,0.7740280575539569,0.3504,500,284.195,1725.1374462839342,556.0,7.254,487,1335,0.011280959261794307,0.23526110345346515,6,225,0.5379876796714579,5.482546201232033,0.042580781480682096,0.8004814310653778,0.0,0.7801556420233463,0,54,0.0016280531209029534,-0.009944494132246628,0.0,3.788802567629402,2555.710431654676,2.7412731006160165,45,2020-05-19 08:18:46+00:00,9.75
2.6.2,2020-10-07 18:20:28+00:00,2024-06-25 11:08:17+00:00,1356.6998726851853,44.5,-22.270742358078603,1,36,30,4,0,0,0.03280017997784981,57.25,5147,1456205,0.7551093781913718,0.7761051878884506,0.3514668739071304,515,282.92306197785115,1716.5919558212447,582.0,7.203225179716339,508,1361,0.010568575377781919,0.23128876828168918,6,237,0.531496062992126,5.358267716535433,0.04908029223531318,0.8046972177706295,0.0,0.8106111484217595,21,0,-0.0007123838840123881,0.0042157867052516895,0.04133858267716536,3.793764636988606,2502.0704467353953,2.6791338582677167,36,2019-09-20 16:35:20+00:00,-12.75
3.7.1,2024-01-08 22:51:45+00:00,2024-07-29 06:15:15+00:00,202.30798611111112,71.75,61.23595505617978,0,64,47,3,0,4,0.3546572796221383,44.5,1164,352256,0.7517366070146423,0.6300932744231713,0.3711340206185567,117,302.6254295532646,2457.814550188613,189.0,9.2946735395189,174,545,0.0362102185901269,0.332455750639574,6,61,0.6436781609195402,6.264367816091954,0.11428041452661711,0.7109669935674363,0.0,0.2344559585492228,18,352,0.02564164321234498,-0.09373022420319321,0.10344827586206896,5.753603811570299,1863.7883597883597,3.132183908045977,64,2019-11-23 01:13:46+00:00,27.25
3.6.0,2023-04-13 00:06:02+00:00,2024-07-30 08:01:23+00:00,474.3301041666667,240.0,234.49477351916377,0,250,75,56,6,17,0.5059767404424969,71.75,2342,724174,0.7507358075407409,0.6894411956775477,0.3488471391972673,235,309.21178479931683,2157.156637665149,289.0,7.718189581554227,268,816,0.022807311755827602,0.27155559550302555,6,104,0.6119402985074627,6.08955223880597,0.05398428421171195,0.7451894937079309,0.0,0.43414120126448896,94,0,-0.013402906834299299,0.03422250014049455,0.35074626865671643,4.937489692151365,2505.7923875432525,3.044776119402985,250,2016-08-31 19:27:34+00:00,168.25
2.4.0,2019-05-20 18:25:56+00:00,2024-09-03 03:10:50+00:00,1932.364513888889,292.05,21.687500000000004,0,246,134,65,12,3,0.15113608115906071,240.0,7422,2089149,0.7628371380978027,0.7966990543242265,0.3453247103206683,743,281.4805982215036,1803.4303495505112,787.0,7.057935866343303,688,1898,0.00803121085948343,0.25034794978105573,6,307,0.5523255813953488,5.517441860465116,0.04747092697418165,0.8076900102923519,0.0,0.3395853899308983,420,0,-0.014776100896344173,0.06250051658442102,0.6104651162790697,3.8408902392143416,2654.5730622617534,2.758720930232558,246,2014-10-18 13:44:09+00:00,52.05000000000001
2.6.0,2020-02-04 01:03:19+00:00,2024-09-27 01:24:02+00:00,1697.014386574074,333.8,14.295497346344805,0,297,178,81,7,12,0.1966983913871668,292.05,6773,1924480,0.7644003179426164,0.7902997194743835,0.3472611841133914,678,284.1399675180865,1911.1566529501129,710.0,7.078399527535804,628,1765,0.008964942756427839,0.23401382024675738,6,282,0.5509554140127388,5.6210191082802545,0.03747676963779021,0.8047337651792641,0.0,0.7509560229445507,5,65,0.0009337318969444095,-0.0029562451130877854,0.007961783439490446,3.9911270367444,2710.5352112676055,2.8105095541401273,297,2016-05-17 23:49:53+00:00,41.75
3.8.1,2024-06-14 17:45:08+00:00,2024-10-17 15:52:08+00:00,124.92152777777778,23.0,-93.10964649490712,1,17,10,1,0,2,0.18411558367197184,333.8,888,292336,0.785449405435483,0.6434145413018653,0.3963963963963964,89,329.2072072072072,3258.5389880126913,142.0,8.789414414414415,128,386,0.04749015748031496,0.29122608056727634,6,43,0.671875,6.03125,0.0656652030605276,0.6641232189119171,0.0,0.09913132345426673,8,508,0.03852521472388712,-0.14061054626734704,0.0625,7.108462534813522,2058.7042253521126,3.015625,17,2024-06-13 22:55:49+00:00,-310.8
3.5.0,2022-12-09 14:53:36+00:00,2024-11-12 02:02:15+00:00,703.4643402777778,227.2,887.8260869565217,0,232,88,55,2,11,0.3229730165288624,23.0,3574,1094670,0.7504264190966241,0.7263810916355278,0.36149972020145493,358,306.2870733072188,2209.422396162299,372.0,7.549804141018467,335,1188,0.02123514165698454,0.2711681214717511,6,129,0.6179104477611941,7.092537313432836,0.04416170713393093,0.7514297200864366,0.0,0.17902621722846443,207,0,-0.02625501582333042,0.08730650117451955,0.6179104477611941,5.080570251206665,2942.6612903225805,3.546268656716418,232,2016-02-04 23:03:08+00:00,204.2
