release,start_date,end_date,duration_days,weighted_velocity,velocity_change_pct,is_degraded,issue_count,bugs,improvements,new_features,tasks,velocity_per_day,prev_weighted_velocity,total_commits,total_churn,churn_concentration,developer_churn_inequality,refactoring_ratio,file_hotspots,avg_commit_size,churn_volatility,unique_developers,avg_files_per_commit,num_nodes,num_edges,density,avg_clustering,diameter,num_components,giant_component_size,avg_degree,max_betweenness,degree_centralization,avg_closeness,network_jaccard,nodes_added,nodes_removed,density_change,centralization_change,turnover_rate,commits_per_day,churn_per_developer,edges_per_node,num_issues,earliest_issue_created,velocity_change
0.9.0.0,2014-02-09 23:58:44+00:00,2017-01-26 03:21:53+00:00,1081.141076388889,557.95,93.36336856697281,0,549,304,85,5,14,0.5160751100713004,288.55,2347,552052,0.8290520176663672,0.7722284033642628,0.37111205794631447,235,235.2160204516404,1782.0041801344066,319.0,6.213037920749893,277,609,0.015931564903468844,0.2818171389569457,6,93,0.6642599277978339,4.397111913357401,0.16112206851460512,0.7451820763161483,0.0,0.940251572327044,0,14,0.0011193833653719131,-0.003128576604813915,0.0,2.1708545269958632,1730.5705329153604,2.1985559566787005,549,2011-08-12 13:55:07+00:00,269.40000000000003
0.10.1.1,2016-10-12 23:30:10+00:00,2017-02-08 19:41:16+00:00,118.84104166666667,32.0,-94.26471906084774,1,30,26,3,0,0,0.2692672459886017,557.95,388,114210,0.7986387437863152,0.6284066550984995,0.3427835051546392,39,294.3556701030928,1900.3581835354723,101.0,8.04896907216495,90,145,0.03620474406991261,0.3057866067866068,5,25,0.7333333333333333,3.2222222222222223,0.29332327881370146,0.6558620689655172,0.0,0.12369597615499255,6,193,0.020273179166443764,-0.08932000735063106,0.06666666666666667,3.2648653576117956,1130.7920792079208,1.6111111111111112,30,2016-07-26 19:33:02+00:00,-525.95
0.10.2.1,2017-02-22 20:43:19+00:00,2017-07-10 16:01:33+00:00,137.8043287037037,36.0,12.5,0,30,27,1,0,0,0.2612399794596035,32.0,654,185216,0.794515328429166,0.7079662094649832,0.3241590214067278,66,283.20489296636083,2387.607287076389,101.0,8.180428134556575,89,258,0.0658835546475996,0.4227669396551263,5,16,0.8314606741573034,5.797752808988764,0.1796011458801343,0.6235955056179776,0.0,0.06613756613756613,56,57,0.02967881057768699,-0.032266563347539634,0.6292134831460674,4.745859626849463,1833.8217821782177,2.898876404494382,30,2016-09-20 12:59:03+00:00,4.0
0.9.0.1,2015-11-08 19:30:34+00:00,2017-11-06 17:47:08+00:00,728.9281712962963,76.0,111.11111111111111,0,70,47,19,1,0,0.10426267359765322,36.0,2745,643106,0.7991938497341657,0.7927273285442378,0.3610200364298725,275,234.28269581056466,1698.1260979026397,356.0,6.80728597449909,303,711,0.01553996459248574,0.340098092749297,5,87,0.7161716171617162,4.693069306930693,0.14722601252863776,0.7345253512693042,0.0,0.2423076923076923,214,0,-0.05034359005511386,0.11092984565132658,0.7062706270627063,3.7658031450731326,1806.4775280898875,2.3465346534653464,70,2014-03-25 19:54:14+00:00,40.0
0.10.0.0,2015-10-03 03:08:51+00:00,2017-12-12 17:03:00+00:00,801.5792708333333,441.99999999999994,481.578947368421,0,418,195,94,4,8,0.5514114649453078,76.0,3002,752736,0.804122507793767,0.8004447485460144,0.3587608261159227,301,250.744836775483,2030.1900017038045,370.0,6.960692871419054,315,773,0.015630371044383782,0.341197354463356,5,92,0.7111111111111111,4.907936507936508,0.15425641317879207,0.7373252017495227,0.0,0.8141809290953546,12,0,9.040645189804276e-05,0.0027998504802184687,0.0380952380952381,3.745106827524466,2034.4216216216216,2.453968253968254,418,2013-01-22 23:16:57+00:00,365.99999999999994
0.11.0.2,2017-08-18 17:14:52+00:00,2018-01-29 20:25:11+00:00,164.13216435185186,25.75,-94.17420814479638,1,18,16,1,0,0,0.15688576399199522,441.99999999999994,568,159795,0.7768707287373919,0.683039412948278,0.36795774647887325,57,281.3292253521127,1621.4821944030512,119.0,7.52112676056338,108,195,0.03374870197300104,0.28323219393368476,6,38,0.6574074074074074,3.611111111111111,0.14563323749287152,0.6958214624881291,0.0,0.1388235294117647,27,234,0.018118330928617258,-0.0415037392613935,0.25,3.4606257843671178,1342.81512605042,1.8055555555555556,18,2017-04-28 03:56:55+00:00,-416.24999999999994
0.10.0.1,2016-05-16 13:37:31+00:00,2018-02-09 16:24:00+00:00,634.115613425926,64.85,151.84466019417474,0,56,41,11,0,0,0.10226841703145577,25.75,2296,604352,0.796436810736969,0.7782648703977502,0.35365853658536583,229,263.219512195122,1813.1801794539801,337.0,7.206010452961673,288,644,0.015582655826558265,0.3250131515738779,5,89,0.6944444444444444,4.472222222222222,0.1283038674954113,0.7374212819185644,0.0,0.20545977011494254,180,0,-0.018166046146442773,0.041599819430435225,0.625,3.6207908327559366,1793.3293768545993,2.236111111111111,56,2016-02-01 22:25:51+00:00,39.099999999999994
0.10.2.0,2016-09-20 06:18:12+00:00,2018-03-16 18:57:34+00:00,542.527337962963,246.05,279.414032382421,0,224,128,58,4,7,0.4535255327848516,64.85,2085,560642,0.7893728547258048,0.7785094400049992,0.3462829736211031,209,268.89304556354915,1865.8060567155064,307.0,7.364028776978417,267,587,0.016530089268114105,0.31732687122798625,5,88,0.6741573033707865,4.397003745318352,0.11239223121545368,0.7476408322646095,0.0,0.6545698924731183,23,44,0.0009474334415558398,0.010219550346045159,0.08614232209737828,3.8431243074839077,1826.1954397394136,2.198501872659176,224,2015-03-03 20:06:56+00:00,181.20000000000002
0.10.2.2,2017-04-12 12:05:15+00:00,2018-06-17 06:28:36+00:00,430.7662152777778,33.05,-86.56777077829709,1,30,26,4,0,0,0.07672375137100258,246.05,1748,484354,0.7775357540798238,0.7537603675798881,0.34725400457665906,175,277.0903890160183,1728.5923902736367,253.0,6.962814645308924,230,542,0.020580975887602052,0.33123434251540246,5,77,0.6695652173913044,4.71304347826087,0.1186838282597565,0.725701909193005,0.0,0.46433203631647213,38,75,0.004050886619487947,-0.0219389230716045,0.16521739130434782,4.057885549062406,1914.4426877470355,2.356521739130435,30,2017-03-01 18:32:01+00:00,-213.0
0.11.0.3,2017-11-22 17:55:05+00:00,2018-06-17 06:28:36+00:00,206.52327546296297,35.25,6.6565809379727785,0,28,23,3,0,1,0.1706829408016124,33.05,729,208854,0.7884031537024643,0.652355381578507,0.35939643347050754,71,286.4938271604938,1629.100967315322,164.0,6.869684499314129,152,241,0.021000348553502964,0.283033131321994,6,58,0.625,3.1710526315789473,0.16375690747930796,0.6978870932518018,0.0,0.36649214659685864,0,78,0.000419372665900912,-0.027814815941203275,0.0,3.5298684778546225,1273.5,1.5855263157894737,28,2017-02-15 12:09:59+00:00,2.200000000000003
